rooms;bedrooms;bathrooms;surface_total;surface_covered;price;property_type
3;2;3;101;87;399000;Departamento
3;2;3;100;100;560000;Departamento
3;2;1;66;59;174000;Departamento
3;2;3;100;100;560000;Departamento
3;2;2;80;62;295000;Departamento
3;2;1;53;53;280000;
3;2;1;65;65;134000;Departamento
3;2;2;131;125;495000;Departamento
3;2;1;56;54;159000;Departamento
3;2;1;52;49;170000;Departamento
3;2;2;107;107;570000;Departamento
3;2;1;72;65;198000;Departamento
3;2;2;88;82;360000;Departamento
3;2;1;85;82;220000;Departamento
4;2;1;90;85;268000;Departamento
3;2;2;80;75;280000;Departamento
3;2;2;85;78;295000;Departamento
3;2;2;86;80;230000;Departamento
4;2;2;112;112;330000;Departamento
3;2;2;82;79;228000;
3;2;2;71;67;245000;Departamento
3;2;1;63;54;175000;Departamento
3;2;2;197;197;600000;Departamento
3;2;1;45;41;89000;Departamento
3;2;1;52;52;120000;
3;2;1;45;41;89000;Departamento
3;2;2;70;70;140000;Departamento
3;2;2;68;68;98000;Departamento
3;2;1;72;65;198000;Departamento
3;2;2;71;63;210000;Departamento
3;2;1;65;65;65000;Departamento
4;2;2;110;110;125000;Departamento
3;2;2;71;71;165000;Departamento
3;2;1;84;64;199000;
3;2;1;50;44;140000;Departamento
3;2;1;78;62;149000;Departamento
3;2;2;86;80;230000;Departamento
3;2;2;82;79;228000;
3;2;1;56;56;135000;Departamento
3;2;1;90;81;260000;Departamento
3;2;1;64;61;133000;Departamento
3;2;1;56;52;145000;Departamento
3;2;1;61;57;145000;Departamento
3;2;1;65;58;127000;Departamento
3;2;1;53;50;115000;Departamento
3;2;2;60;57;175000;Departamento
3;2;1;72;70;179900;Departamento
3;2;1;58;55;138000;Departamento
3;2;1;64;56;155000;Departamento
3;2;3;172;162;700000;Departamento
3;2;2;107;92;650000;Departamento
3;2;4;149;149;1690000;Departamento
3;2;3;121;111;874080;
3;2;2;88;80;110000;Departamento
3;2;1;54;54;94500;Departamento
3;2;1;72;65;198000;Departamento
3;2;1;54;50;215000;Departamento
3;2;1;65;56;239000;Departamento
3;2;1;60;57;180000;
3;2;2;90;65;239000;Departamento
3;2;1;73;68;205000;Departamento
3;2;1;61;57;145000;Departamento
3;2;1;50;50;139000;Departamento
3;2;1;90;81;260000;Departamento
3;2;1;70;70;123500;Departamento
3;2;1;81;75;169800;Departamento
4;3;1;100;100;400000;PH
4;3;1;77;77;239000;PH
4;3;1;120;120;345000;PH
4;3;2;130;112;299999;PH
4;3;2;240;140;215000;PH
4;3;2;140;110;160000;PH
7;3;2;325;325;120000;Casa
7;3;3;1023;360;650000;Casa
6;3;3;1000;190;370000;Casa
4;3;3;341;212;11111111;Casa
4;3;1;56;54;140000;Departamento
4;3;2;104;104;250000;Departamento
4;3;4;146;146;340000;Departamento
4;3;3;261;110;400000;
4;3;3;122;104;318500;
4;3;2;114;107;270000;Departamento
4;3;3;133;113;290000;Departamento
4;3;3;115;105;345000;Departamento
4;3;2;100;94;330000;Departamento
3;3;3;88;82;360000;Departamento
5;3;3;133;133;330000;Departamento
4;3;3;144;118;350000;Departamento
4;3;1;130;122;169000;Departamento
4;3;2;206;106;400000;Departamento
4;3;2;124;124;215000;Departamento
4;3;4;103;100;580000;Departamento
4;3;3;130;122;359900;Departamento
4;3;2;110;95;298000;Departamento
6;3;2;304;304;1480000;Departamento
4;3;1;72;64;232000;Departamento
4;3;3;168;142;384500;Departamento
4;3;4;148;140;500000;Departamento
4;3;1;50;50;125000;Departamento
4;3;2;155;155;840000;Departamento
6;3;3;276;276;1680000;Departamento
5;3;3;192;147;555000;Departamento
7;3;3;327;224;1000000;
4;3;4;103;100;580000;Departamento
4;3;2;159;144;370000;Departamento
4;3;3;122;110;405000;Departamento
6;3;3;193;193;810000;Departamento
4;3;3;122;110;405000;Departamento
4;3;3;168;142;384500;Departamento
4;3;2;80;80;249000;Departamento
4;3;2;77;69;229000;Departamento
4;3;1;66;66;138000;Departamento
5;3;2;80;80;130000;Departamento
6;3;3;218;218;740000;Departamento
4;3;2;88;80;290000;Departamento
5;3;4;202;202;640000;Departamento
4;3;3;98;87;245000;Departamento
5;3;2;160;160;850000;Departamento
5;3;2;149;141;398000;Departamento
4;3;1;100;90;128000;Departamento
4;3;1;56;54;140000;Departamento
4;3;3;115;105;345000;Departamento
4;3;3;115;105;345000;Departamento
4;3;3;110;80;450000;Departamento
4;3;2;120;110;290000;
4;3;2;110;110;295000;Departamento
5;3;3;133;133;330000;Departamento
4;3;2;75;75;195000;Departamento
4;3;2;78;78;134000;Departamento
4;3;1;144;118;350000;Departamento
4;3;5;250;250;3390000;Departamento
4;3;2;90;82;330000;Departamento
4;3;2;71;63;259000;Departamento
4;3;2;138;138;398000;Departamento
4;3;1;75;75;189000;
4;3;3;120;100;440000;Departamento
4;3;1;84;76;300000;Departamento
4;3;4;164;155;370000;
4;3;2;163;125;300000;Departamento
6;4;3;230;183;170000;Casa
4;4;3;231;209;690000;Departamento
5;4;1;95;95;178000;Departamento
5;4;3;104;104;175000;Departamento
5;4;3;357;125;420000;Departamento
5;4;3;330;276;2200000;Departamento
5;4;5;266;266;2200000;Departamento
5;4;3;330;276;2200000;Departamento
5;4;5;266;266;2200000;Departamento
4;4;3;231;209;690000;Departamento
4;4;3;231;209;690000;Departamento
5;4;2;170;148;560000;Departamento
6;4;3;264;264;750000;Departamento
4;4;3;231;209;690000;Departamento
6;5;4;321;310;1280000;Departamento
2;1;1;62;62;119000;PH
2;1;1;36;36;108000;PH
3;1;2;116;116;290000;Casa
1;1;1;48;48;115000;Departamento
1;1;1;27;27;70000;
2;1;1;33;31;122000;Departamento
2;1;1;35;35;96500;Departamento
2;1;1;42;42;137000;Departamento
2;1;1;26;24;63000;Departamento
1;1;1;38;38;128000;Departamento
1;1;1;50;50;186000;Departamento
2;1;1;35;35;123000;Departamento
2;1;1;52;42;265000;Departamento
2;1;1;45;41;145000;Departamento
2;1;1;42;42;137000;Departamento
2;1;1;43;43;185000;Departamento
2;1;1;87;60;244900;
1;1;;23;23;72000;Departamento
2;1;1;42;42;100000;Departamento
2;1;1;55;55;185000;Departamento
2;1;1;50;50;140000;Departamento
2;1;1;49;44;139000;Departamento
2;1;1;46;42;92000;Departamento
1;1;1;54;51;115000;Departamento
1;1;1;23;23;62000;Departamento
2;1;1;36;36;90000;Departamento
1;1;;14;14;27000;Departamento
1;1;1;42;30;75000;Departamento
2;1;1;48;44;142000;Departamento
1;1;1;33;30;95000;Departamento
1;1;1;42;42;290000;
2;1;1;67;57;239000;Departamento
2;1;1;38;38;74900;Departamento
2;1;1;54;44;158000;Departamento
2;1;1;50;44;158000;Departamento
2;1;1;42;42;137000;Departamento
1;1;1;34;34;110000;Departamento
1;1;1;23;22;70500;Departamento
2;1;1;63;60;125000;Departamento
2;1;1;50;45;280000;Departamento
2;1;1;38;38;68000;Departamento
1;1;1;38;32;90000;Departamento
1;1;1;53;45;120000;Departamento
2;1;1;30;30;75000;Departamento
3;2;1;68;68;130000;PH
3;2;1;71;66;135000;PH
3;2;1;63;63;115000;PH
3;2;1;120;64;89000;PH
3;2;1;74;60;100000;PH
3;2;1;177;93;164900;PH
3;2;1;171;120;179900;Casa
3;2;1;71;68;174000;Casa
3;2;1;54;46;125000;Departamento
3;2;2;134;109;480000;
3;2;1;73;68;215000;Departamento
3;2;1;67;63;200000;Departamento
3;2;2;65;60;221900;Departamento
3;2;1;51;48;115000;Departamento
3;2;2;154;144;549000;Departamento
3;2;1;69;59;273000;Departamento
3;2;2;82;65;345000;Departamento
3;2;1;63;55;165100;Departamento
3;2;2;64;60;149000;Departamento
3;2;1;75;67;239900;
3;2;1;83;75;470000;Departamento
3;2;1;91;85;127000;Departamento
3;2;1;70;59;166900;Departamento
3;2;1;72;55;154000;Departamento
3;2;2;89;80;365000;Departamento
3;2;2;89;89;180000;Departamento
3;2;1;59;59;115000;Departamento
3;2;1;68;68;75000;Departamento
3;2;1;135;135;160000;Departamento
3;2;1;97;64;215000;Departamento
3;2;1;70;70;235000;Departamento
3;2;1;52;45;120000;Departamento
3;2;2;140;130;340000;Departamento
4;3;2;125;100;278900;PH
4;3;2;167;143;370000;PH
4;3;2;210;149;495000;PH
4;3;2;337;;550000;Lote
4;3;2;84;84;225000;Departamento
4;3;1;80;65;235000;Departamento
4;3;2;78;70;184000;Departamento
4;3;1;79;79;215000;Departamento
4;3;1;78;78;215000;Departamento
5;3;2;282;174;560000;
3;3;2;106;93;400000;Departamento
4;3;2;109;95;407000;Departamento
4;3;1;70;70;157000;Departamento
7;3;3;308;308;1100000;Departamento
4;3;4;200;200;1100000;Departamento
4;3;2;80;77;338000;Departamento
4;3;2;183;166;440000;Departamento
4;3;2;134;113;270000;Departamento
4;3;2;136;121;340000;Departamento
4;3;3;227;153;649900;Departamento
4;3;1;116;116;210000;
4;3;2;210;200;400000;Departamento
4;3;1;87;87;149000;Departamento
4;3;1;60;60;127000;Departamento
4;3;2;111;103;308000;Departamento
4;3;3;164;164;1150000;
4;3;2;99;95;230000;Departamento
4;3;;88;88;192000;Departamento
4;3;2;118;88;295000;Departamento
5;4;2;400;198;330000;PH
5;4;1;280;280;285000;PH
5;4;2;149;149;270000;PH
4;4;2;91;81;200000;PH
5;4;2;149;149;280000;PH
5;4;2;200;175;178900;PH
5;4;3;230;244;490000;Casa
5;4;3;465;236;399000;Departamento
5;4;2;362;220;520000;Departamento
5;4;2;210;200;400000;Departamento
4;4;2;113;110;275000;Departamento
5;4;4;200;178;351000;Departamento
5;4;2;210;200;400000;Departamento
5;4;2;210;200;400000;Departamento
6;5;1;210;189;225000;Casa
6;5;4;189;189;315000;Departamento
10;8;4;2000;1400;5000000;Casa
8;6;4;535;535;650000;Casa
2;1;1;88;50;67000;PH
3;1;1;227;80;123000;Casa
2;1;1;44;44;82000;Departamento
2;1;1;42;42;75000;Departamento
2;1;1;53;51;85000;Departamento
2;1;1;54;54;66000;Departamento
2;1;1;37;37;75000;Departamento
2;1;1;42;40;60000;Departamento
2;1;1;44;44;53000;Departamento
2;1;1;30;30;65000;Departamento
2;1;1;45;42;108000;Departamento
3;2;1;328;119;120000;PH
3;2;1;120;80;120000;PH
4;2;1;266;105;110000;Casa
3;2;2;82;80;95000;Casa
3;2;;370;370;149000;Casa
3;2;2;333;116;139999;Casa
3;2;1;418;80;89000;Casa
4;2;1;148;11098;129000;Casa
4;2;2;374;;280000;Lote
3;2;2;90;90;185000;Departamento
4;2;1;65;46;85000;
3;2;1;56;56;80000;Departamento
3;2;1;51;49;100000;Departamento
3;2;1;61;56;75000;Departamento
3;2;2;65;65;128500;Departamento
3;2;2;66;66;170000;Departamento
3;2;2;66;66;145000;Departamento
4;2;2;143;143;220000;Departamento
4;3;1;383;180;145000;PH
4;3;1;171;121;78000;PH
5;3;2;900;215;197000;Casa
5;3;2;900;280;299000;Casa
4;3;2;224;94;126000;Casa
4;3;2;227;227;115000;Casa
4;3;2;355;355;290000;Casa
5;3;1;100;100;119000;Casa
5;3;2;236;192;200000;Casa
7;3;3;814;236;370000;Casa
6;3;2;266;170;225000;Casa
5;3;2;938;180;280000;Casa
4;3;2;156;135;360000;
4;3;2;92;92;98000;Departamento
4;3;2;130;130;450000;Departamento
4;3;1;195;105;165000;
4;3;1;195;105;165000;
4;3;1;69;65;63000;Departamento
5;3;2;900;215;197000;Casa de campo
9;4;3;741;245;365000;
6;4;3;287;130;145000;Casa
5;4;1;375;140;220000;Casa
6;4;2;575;284;600000;Casa
5;4;2;219;80;75000;Casa
8;4;2;223;108;140000;Casa
6;5;3;576;366;395000;Casa
7;6;2;2870;186;425000;Casa
3;1;1;775;73;164900;Casa
2;1;1;360;52;49900;Casa
1;1;1;70;58;205000;
2;1;1;39;39;73000;Departamento
2;1;1;47;47;60000;Departamento
4;2;2;300;58;49900;PH
3;2;1;171;75;96000;PH
3;2;1;200;98;41660;Casa
3;2;2;114;93;370000;Departamento
3;2;1;145;75;130000;Departamento
3;2;1;145;75;130000;Departamento
3;2;1;53;51;66000;Departamento
3;2;1;145;75;130000;Departamento
3;2;1;145;75;130000;Departamento
3;2;1;145;75;130000;Departamento
3;2;1;60;52;65000;
5;3;5;860;690;1300000;Casa
7;3;3;350;300;620000;
4;3;3;178;170;365000;Casa
