rooms;bedrooms;bathrooms;surface_total;surface_covered;price;property_type
3;2;1;200;140;260000;Casa
3;1;1;57;57;78000;Oficina
3;2;;95;95;85000;Oficina
3;2;1;42;42;72000;Departamento
3;2;2;80;72;118500;Departamento
3;2;1;75;75;140000;Departamento
3;2;2;78;65;112500;Departamento
3;2;2;82;74;165000;Departamento
3;2;1;70;70;80000;Departamento
3;2;2;80;80;139000;Departamento
3;2;1;81;66;199000;Departamento
3;2;2;70;70;210000;Departamento
3;2;2;75;75;256000;Departamento
3;2;1;81;66;199000;Departamento
3;2;2;100;100;290000;
3;2;2;85;75;259000;Departamento
3;2;1;104;61;218000;Departamento
3;1;1;73;54;149000;Departamento
3;2;1;60;55;138000;Departamento
3;2;1;75;59;210000;Departamento
3;2;1;50;48;115000;
3;2;1;64;59;215000;Departamento
3;2;1;76;76;115000;Departamento
3;2;2;97;87;236000;Departamento
3;2;1;60;53;195000;Departamento
3;2;1;65;61;185000;Departamento
3;2;1;58;56;149000;Departamento
3;2;2;96;89;195000;Departamento
3;2;1;57;57;125000;Departamento
3;2;1;56;48;110000;Departamento
3;2;1;160;80;230000;Departamento
3;2;2;96;89;195000;Departamento
3;2;1;100;100;180000;Departamento
3;2;2;64;60;139000;Departamento
3;2;2;71;65;202375;Departamento
3;2;1;50;50;140000;Departamento
3;2;2;80;60;174900;Departamento
3;2;2;72;65;210000;
3;2;1;55;55;120000;Departamento
3;2;1;72;72;150000;Departamento
3;2;2;76;76;199500;Departamento
3;2;1;78;73;160000;
3;2;1;65;45;129000;Departamento
3;1;1;100;77;220000;Departamento
3;2;2;166;86;83000;Departamento
3;2;1;56;43;120000;Departamento
3;2;1;65;60;155000;Departamento
3;2;3;75;75;359000;Departamento
3;2;2;70;67;255000;Departamento
3;2;1;58;52;172000;Departamento
3;2;3;119;90;380000;Departamento
3;2;1;65;65;163000;Departamento
3;2;2;71;71;670000;Departamento
3;2;1;83;80;240000;Departamento
3;2;1;59;59;113000;Departamento
3;2;1;56;52;165000;Departamento
3;2;1;71;58;213000;Departamento
3;2;1;88;66;264000;Departamento
3;2;1;69;65;99000;
3;2;1;84;77;198891;Departamento
3;2;1;76;76;92000;Departamento
3;2;2;70;61;239000;Departamento
3;2;1;70;70;235000;Departamento
3;2;1;57;56;167500;Departamento
3;2;1;65;45;129000;Departamento
3;2;1;74;63;195000;Departamento
3;2;1;43;44;133000;Departamento
3;2;2;84;77;170000;Departamento
3;2;2;84;77;170000;Departamento
3;3;2;145;113;169000;
3;2;1;64;64;125000;Departamento
3;2;1;41;41;50000;Departamento
3;2;1;75;75;310000;Departamento
3;2;1;70;64;245000;Departamento
3;2;1;50;48;150000;Departamento
3;2;1;52;47;225000;Departamento
3;2;1;55;44;120000;Departamento
3;2;1;58;56;149000;Departamento
3;2;2;68;64;214000;Departamento
3;2;2;84;77;170000;Departamento
3;2;1;73;64;169000;Departamento
3;2;2;84;77;170000;Departamento
3;2;1;61;61;130000;Departamento
3;2;2;84;77;170000;Departamento
3;2;2;95;87;207000;Departamento
3;2;1;80;70;188000;Departamento
3;2;1;68;64;210000;Departamento
3;2;1;66;56;158500;Departamento
3;2;2;79;76;228000;Departamento
3;2;1;66;56;158250;Departamento
3;2;2;243;180;450000;Departamento
3;2;2;75;64;249000;Departamento
3;2;1;64;57;160000;Departamento
3;2;1;77;77;169000;
3;2;;53;53;106000;Departamento
3;2;1;84;77;245000;Departamento
3;2;2;140;80;275000;Departamento
3;2;1;;;120000;Departamento
3;2;1;;;95000;Departamento
3;2;1;;;95000;Departamento
3;2;1;73;85;275000;Departamento
3;2;1;266;133;200000;Departamento
3;2;2;82;65;345000;Departamento
3;2;3;75;75;359000;Departamento
3;2;2;95;71;174300;
3;2;2;95;71;174300;
3;2;2;95;71;170150;
3;2;2;95;71;174300;
3;2;2;95;71;170150;
3;2;2;95;71;174300;
3;2;2;95;71;170150;
3;2;2;95;71;170150;
3;2;2;68;68;179000;Departamento
3;2;1;73;70;209000;Departamento
3;2;1;60;55;169000;Departamento
3;2;1;62;54;145000;Departamento
3;2;1;51;51;104000;Departamento
3;2;1;58;53;158000;Departamento
3;2;1;65;57;139900;Departamento
3;2;3;124;124;830000;Departamento
3;2;3;165;;690000;Departamento
3;2;3;263;150;1150000;Departamento
3;2;2;74;64;230000;Departamento
3;2;1;51;51;138000;Departamento
3;2;1;65;45;129000;Departamento
3;2;1;128;58;258000;Departamento
3;2;1;67;64;195000;Departamento
3;2;2;71;63;265000;Departamento
3;2;1;67;62;166000;Departamento
3;2;1;53;50;120000;Departamento
3;2;1;;;80000;Departamento
3;2;1;65;66;187000;Departamento
3;2;1;76;76;98000;Departamento
3;2;1;50;50;105000;Departamento
4;3;2;248;185;450000;PH
4;3;2;213;102;219000;
4;2;1;95;61;73000;PH
4;3;1;120;120;345000;PH
4;3;2;125;125;223000;PH
4;3;1;86;75;125000;PH
4;3;3;106;84;139000;PH
4;3;1;74;61;84500;PH
4;3;2;130;78;110000;Casa de campo
4;3;2;153;143;170000;PH
4;3;1;60;60;275000;PH
4;2;1;95;69;165000;PH
4;3;2;70;70;70000;PH
4;2;1;192;105;96000;PH
4;3;2;142;119;235000;PH
4;3;2;171;150;200000;Casa
4;3;2;356;124;119000;Casa
4;3;2;135;116;158000;Casa
4;3;2;200;100;155000;Casa
4;3;2;480;151;225000;Casa
4;3;2;325;325;549000;Casa
4;3;2;300;223;220000;Casa
4;3;3;211;173;453000;Casa
4;3;2;855;216;360000;Casa
4;3;1;800;148;335000;Casa
4;2;2;875;92;210000;Casa
4;3;1;233;218;155000;Casa
4;3;3;300;220;269000;Casa
4;3;2;198;143;220000;Casa
4;3;2;198;143;160000;Casa
4;3;2;1336;134;169000;Casa de campo
4;3;2;196;136;180000;Casa
4;3;;686;686;298000;Casa
4;2;1;696;65;100000;Casa
4;3;1;275;105;165000;Casa
4;3;1;107;107;80000;Casa
4;3;1;103;70;150000;Oficina
4;2;2;239;190;85000;Casa
4;3;2;680;220;535000;Casa
4;3;2;217;170;290000;Casa
4;2;1;320;120;59900;Casa
4;3;2;593;472;460000;Oficina
4;3;1;182;65;180000;Casa
4;3;2;600;180;230000;Casa
4;3;1;320;120;200000;Casa
4;3;;130;130;98000;Casa
4;2;1;273;106;150000;
4;3;2;4532;;219900;Lote
4;3;2;180;;169000;Lote
4;3;;60;;95000;Oficina
4;3;1;114;110;185000;Departamento
4;3;4;127;110;450000;Departamento
4;3;2;120;120;220000;Departamento
4;3;2;86;86;133900;Departamento
4;3;2;90;82;179000;Departamento
4;3;2;107;95;180000;Departamento
4;3;3;102;94;287000;Departamento
4;3;2;78;72;172500;Departamento
4;3;2;95;85;285000;Departamento
4;3;2;124;124;220000;Departamento
4;3;1;100;100;180000;Departamento
4;3;1;100;100;180000;Departamento
4;3;2;78;70;184000;Departamento
4;3;2;101;101;250000;Departamento
4;3;2;91;91;260000;Departamento
4;3;2;99;95;230000;Departamento
4;3;2;99;88;245000;Departamento
4;3;2;103;92;330000;Departamento
4;3;3;126;120;790000;Departamento
4;3;1;6845;5930;210000;Departamento
4;3;3;140;135;600000;Departamento
4;3;2;113;101;425000;Departamento
4;2;3;180;128;580000;Departamento
4;3;3;387;270;2690000;Departamento
4;3;1;72;64;232000;Departamento
4;3;1;78;75;215000;Departamento
4;3;;67;63;169000;Departamento
4;3;2;151;126;380000;Departamento
4;3;2;80;71;280000;Departamento
4;3;2;132;126;330000;Departamento
4;3;2;165;155;649000;Departamento
4;3;2;106;97;390000;Departamento
4;3;3;130;122;360000;Departamento
4;3;2;86;77;325000;Departamento
4;3;3;135;120;350000;Departamento
4;3;3;108;98;310000;Departamento
4;3;4;172;156;1200000;Departamento
4;3;3;160;144;1150000;Departamento
4;3;2;122;122;250000;Departamento
4;3;1;67;67;70000;Departamento
4;3;2;77;74;287000;Departamento
4;3;2;113;101;425000;Departamento
4;3;2;120;115;350000;Departamento
4;3;2;109;100;330000;Departamento
4;3;3;185;168;1255000;Departamento
4;3;1;121;112;330000;Departamento
4;3;2;88;85;145000;Departamento
4;3;3;193;164;455000;Departamento
4;3;2;139;130;299900;Oficina
4;3;3;122;107;310000;Departamento
4;3;2;107;95;180000;Departamento
4;3;4;140;120;430000;Departamento
4;3;2;132;115;488000;Departamento
4;3;1;101;93;189000;Departamento
4;3;1;98;57;124000;Departamento
4;3;3;370;250;260000;Departamento
4;3;1;76;73;163000;Departamento
4;3;2;141;141;445000;Departamento
4;3;1;118;118;450000;Departamento
4;2;2;110;110;340000;Departamento
4;3;1;100;100;180000;Departamento
4;3;3;106;97;215000;Departamento
4;3;3;106;96;269000;Departamento
4;3;1;65;65;60000;Departamento
4;3;1;70;70;65000;Departamento
4;2;2;70;70;125000;Departamento
4;3;2;78;76;220000;Departamento
4;3;1;60;60;170000;Departamento
4;3;2;125;104;311000;Departamento
4;3;3;162;145;820000;Departamento
4;3;1;100;100;180000;Departamento
4;3;2;107;95;180000;Departamento
4;3;3;101;101;250000;Departamento
4;3;2;116;106;250000;Departamento
4;3;2;84;84;225000;Departamento
4;3;3;102;94;287000;Departamento
5;4;2;130;130;350000;PH
5;4;2;190;132;199000;PH
5;4;2;198;161;494000;PH
5;4;2;400;198;320000;PH
5;4;2;402;200;320000;PH
5;4;2;130;130;350000;PH
5;4;3;235;175;435000;PH
5;4;2;149;149;270000;PH
5;4;1;110;80;150000;
5;4;2;198;140;160000;Casa
5;3;1;200;130;190000;Casa
5;3;2;155;125;245000;
5;4;;75792;75792;580000;Casa
5;3;2;400;140;135000;Casa
5;4;;731;731;498000;Casa
5;3;3;349;205;239000;Casa
5;4;2;300;120;140000;Casa
5;3;2;463;100;157000;Casa
5;4;3;226;226;220000;Casa
5;3;2;300;140;220000;Casa
5;4;2;208;200;279900;Casa
5;4;2;160;150;280000;Casa
5;3;2;260;191;450000;Casa
5;4;3;330;230;363000;
5;4;2;205;190;130000;Casa
5;4;3;200;180;115000;Casa
